Forest type,Year,Climate scenario,N,Biomass mn,Biomass se
Aspen/ pine,2016,SSP2-4.5,272,33.8517974264706,0.376856828681978
Deciduous,2016,SSP2-4.5,138,38.7287210144928,0.624837275188414
Mixed forest,2016,SSP2-4.5,78,33.6922115384615,0.731339268320717
Pine,2016,SSP2-4.5,4329,31.8279677985678,0.074608247456478
Reproductive/ other,2016,SSP2-4.5,7,26.0755,4.16341182668391
Spruce,2016,SSP2-4.5,869,28.2091162219793,0.194927694104341
Aspen/ pine,2016,SSP5-8.5,274,33.8278879562044,0.373499249502992
Deciduous,2016,SSP5-8.5,137,38.7166218978102,0.623713312665536
Mixed forest,2016,SSP5-8.5,79,33.5586126582279,0.743201038051797
Pine,2016,SSP5-8.5,4328,31.8365068160813,0.0745448496035888
Reproductive/ other,2016,SSP5-8.5,7,26.0718142857143,4.16574886318852
Spruce,2016,SSP5-8.5,868,28.3711834205069,0.181927614283328
Aspen/ pine,2016,Historical climate,266,33.8147729323308,0.390139051940988
Deciduous,2016,Historical climate,138,39.2704782608696,0.638230120894087
Mixed forest,2016,Historical climate,76,35.2793947368421,0.769159547843116
Pine,2016,Historical climate,4327,31.8054978507049,0.075772632102283
Reproductive/ other,2016,Historical climate,8,25.9875375,4.21025436765225
Spruce,2016,Historical climate,878,28.0783560326879,0.189038458510584
Aspen/ pine,2020,SSP2-4.5,361,38.3057407202216,0.421909017901024
Deciduous,2020,SSP2-4.5,173,42.8528084393064,0.940911037967514
Mixed forest,2020,SSP2-4.5,110,29.2017042727273,0.636426126192578
Pine,2020,SSP2-4.5,4376,34.9111354753199,0.0821889316726268
Reproductive/ other,2020,SSP2-4.5,103,5.65412490485437,1.00875070183572
Spruce,2020,SSP2-4.5,570,23.4856145742105,0.371448247866164
Aspen/ pine,2020,SSP5-8.5,346,38.7455904624277,0.422267674183237
Deciduous,2020,SSP5-8.5,164,44.0993028048781,1.0339183854293
Mixed forest,2020,SSP5-8.5,122,28.8474098360656,0.574848778275044
Pine,2020,SSP5-8.5,4397,34.9115326927451,0.0828527382369266
Reproductive/ other,2020,SSP5-8.5,92,4.99698896086957,0.91843182786767
Spruce,2020,SSP5-8.5,572,23.7805049246504,0.355987038513094
Aspen/ pine,2020,Historical climate,305,38.2170643934426,0.470795874293039
Deciduous,2020,Historical climate,135,44.2976009037037,1.25580249717603
Mixed forest,2020,Historical climate,128,35.5052534375,0.688819695137777
Pine,2020,Historical climate,4342,34.8144486112391,0.0850288340009009
Reproductive/ other,2020,Historical climate,77,4.50853892857143,1.06285342704383
Spruce,2020,Historical climate,706,24.3817643987252,0.356722183823426
Aspen/ pine,2040,SSP2-4.5,168,41.1208625,0.758977012049862
Deciduous,2040,SSP2-4.5,54,50.5351385185185,2.4683147420825
Mixed forest,2040,SSP2-4.5,14,32.561345,4.08444436027243
Pine,2040,SSP2-4.5,4821,33.0699582437254,0.103044965122904
Reproductive/ other,2040,SSP2-4.5,134,4.67882654253731,0.444451468379869
Spruce,2040,SSP2-4.5,502,12.6028820984064,0.573269647552313
Aspen/ pine,2040,SSP5-8.5,163,40.2860748466258,0.693658706787561
Deciduous,2040,SSP5-8.5,49,53.0398193877551,2.5482466677431
Mixed forest,2040,SSP5-8.5,14,30.5883271428571,4.95348543281755
Pine,2040,SSP5-8.5,4839,33.0719706063236,0.101098180689295
Reproductive/ other,2040,SSP5-8.5,149,4.33299350805369,0.36669086024248
Spruce,2040,SSP5-8.5,479,11.5343212045929,0.519842689609596
Aspen/ pine,2040,Historical climate,129,41.450948372093,0.859695732013412
Deciduous,2040,Historical climate,47,56.2528617021277,1.80101729796584
Mixed forest,2040,Historical climate,63,41.2523287301587,1.80705269317206
Pine,2040,Historical climate,4630,31.976746225486,0.122745624507291
Reproductive/ other,2040,Historical climate,201,5.30701921840796,0.588566209628177
Spruce,2040,Historical climate,623,16.225016117817,0.698677805841897
Aspen/ pine,2060,SSP2-4.5,67,35.58537,1.16792920829394
Deciduous,2060,SSP2-4.5,10,45.24316,4.65200817024696
Mixed forest,2060,SSP2-4.5,114,26.5766613157895,0.990108868879443
Pine,2060,SSP2-4.5,4753,28.1370549840101,0.086934803647099
