stratum,ALNUsinu_less5,ALNUsinu_5to10,ALNUsinu_10to20,ALNUsinu_20to30,ALNUsinu_30to40,ALNUsinu_40to50,ALNUsinu_50to60,ALNUsinu_60to70,ALNUsinu_70to80,ALNUsinu_80up,ALNUtenu_less5,ALNUtenu_5to10,ALNUtenu_10to20,ALNUtenu_20to30,ALNUtenu_30to40,ALNUtenu_40to50,ALNUtenu_50to60,ALNUtenu_60to70,ALNUtenu_70to80,ALNUtenu_80up,BETUneoa_less5,BETUneoa_5to10,BETUneoa_10to20,BETUneoa_20to30,BETUneoa_30to40,BETUneoa_40to50,BETUneoa_50to60,BETUneoa_60to70,BETUneoa_70to80,BETUneoa_80up,LARIlari_less5,LARIlari_5to10,LARIlari_10to20,LARIlari_20to30,LARIlari_30to40,LARIlari_40to50,LARIlari_50to60,LARIlari_60to70,LARIlari_70to80,LARIlari_80up,PICEglau_less5,PICEglau_5to10,PICEglau_10to20,PICEglau_20to30,PICEglau_30to40,PICEglau_40to50,PICEglau_50to60,PICEglau_60to70,PICEglau_70to80,PICEglau_80up,PICEmari_less5,PICEmari_5to10,PICEmari_10to20,PICEmari_20to30,PICEmari_30to40,PICEmari_40to50,PICEmari_50to60,PICEmari_60to70,PICEmari_70to80,PICEmari_80up,POPUbals_less5,POPUbals_5to10,POPUbals_10to20,POPUbals_20to30,POPUbals_30to40,POPUbals_40to50,POPUbals_50to60,POPUbals_60to70,POPUbals_70to80,POPUbals_80up,POPUtrem_less5,POPUtrem_5to10,POPUtrem_10to20,POPUtrem_20to30,POPUtrem_30to40,POPUtrem_40to50,POPUtrem_50to60,POPUtrem_60to70,POPUtrem_70to80,POPUtrem_80up,SALIplan_less5,SALIplan_5to10,SALIplan_10to20,SALIplan_20to30,SALIplan_30to40,SALIplan_40to50,SALIplan_50to60,SALIplan_60to70,SALIplan_70to80,SALIplan_80up,SALIscou_less5,SALIscou_5to10,SALIscou_10to20,SALIscou_20to30,SALIscou_30to40,SALIscou_40to50,SALIscou_50to60,SALIscou_60to70,SALIscou_70to80,SALIscou_80up
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.195,81.543,24.71,4.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.072,148.26,182.854,106.253,32.123,7.413,2.471,0,0,0,4.942,0,2.471,0,0,0,0,0,0,0,12.355,4.942,2.471,2.471,0,0,0,0,0,0,0,0,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.601,27.181,12.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.339,348.411,249.571,56.833,12.355,0,0,0,0,0,61.775,187.796,32.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.826,9.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.339,726.474,180.383,17.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.086,103.782,19.768,4.942,0,0,0,0,0,0,12.355,12.355,2.471,0,0,0,0,0,0,0,4.942,0,0,0,0,0,0,0,0,0,0,27.181,14.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.202,153.202,138.376,54.362,9.884,4.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.014,56.833,0,7.413,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.413,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.441,205.093,24.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.325,113.666,32.123,0,0,0,0,0,0,0,19.768,27.181,0,0,0,0,0,0,0,0,4.942,12.355,0,0,0,0,0,0,0,0,91.427,674.583,271.81,22.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2594.55,756.126,44.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.318,4.942,0,0,0,0,0,0,0,61.775,1391.173,214.977,14.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.165,355.824,130.963,19.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.014,79.072,22.239,2.471,2.471,0,0,0,0,0,34.594,34.594,0,0,0,0,0,0,0,0,0,0,2.471,0,0,0,0,0,0,0,66.717,219.919,113.666,12.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.007,116.137,93.898,34.594,4.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.768,54.362,14.826,14.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.557,160.615,27.181,22.239,4.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.304,88.956,74.13,32.123,7.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.427,128.492,98.84,54.362,22.239,9.884,2.471,0,0,0,0,4.942,0,0,0,0,0,0,0,0,4.942,4.942,2.471,0,0,0,0,0,0,0,0,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.079,187.796,98.84,17.297,2.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.963,160.615,88.956,27.181,7.413,0,0,0,0,0,76.601,103.782,14.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
