stratum,totstems,ALNUsinu,ALNUtenu,BETUneoa,LARIlari,PICEglau,PICEmari,POPUbals,POPUtrem,SALIplan,SALIscou
1,812.959,0,0,0.273556231003039,0,0.68693009118541,0.00911854103343465,0.027355623100304,0.00303951367781155,0,0
2,1359.05,0,0,0.0854545454545455,0,0.689090909090909,0.207272727272727,0,0.0181818181818182,0,0
3,1559.201,0,0,0.765451664025357,0,0.187004754358162,0.01743264659271,0.00316957210776545,0.0269413629160063,0,0
4,674.583,0,0,0.761904761904762,0,0.223443223443223,0,0,0.0146520146520147,0,0
5,1860.663,0,0,0.217795484727756,0,0.177954847277556,0.0252324037184595,0.00929614873837981,0.569721115537849,0,0
6,5287.94,0,0,0.0116822429906542,0,0.642056074766355,0,0.0280373831775701,0.318224299065421,0,0
7,1465.303,0,0,0.539629005059022,0,0.129848229342327,0.0472175379426644,0.00168634064080944,0.281618887015177,0,0
8,775.894,0,0,0.375796178343949,0,0.133757961783439,0,0,0.490445859872611,0,0
9,689.409,0,0,0.379928315412186,0,0.591397849462366,0.00716845878136201,0.017921146953405,0.003584229390681,0,0
10,1037.82,0,0,0.411904761904762,0,0.4,0.188095238095238,0,0,0,0
11,921.683,0,0,0.155495978552279,0,0.632707774798928,0,0.0348525469168901,0.176943699731903,0,0
12,1158.899,0,0,0.432835820895522,0,0.345415778251599,0.136460554371002,0,0.0852878464818763,0,0
13,1616.034,0,0,0.120795107033639,0,0.59480122324159,0.0397553516819572,0.224770642201835,0.0198776758409786,0,0
14,1092.182,0,0,0.407239819004525,0,0.328054298642534,0.171945701357466,0.00904977375565611,0.083710407239819,0,0
15,2606.905,0,0,0.497630331753554,0,0.290995260663507,0.0369668246445498,0.0597156398104265,0.114691943127962,0,0
16,3664.493,0,0,0.0384356035064059,0,0.119352663519892,0.842211732973702,0,0,0,0
20,2000,0,0,0,0,0,1,0,0,0,0
