site,STRATUM,STRATUMDES
1,20,Black and White Spruce-Hardwood Dwarf
7,16,Black and White Spruce-Hardwood Reproduction
18,10,White Spruce-Birch Poletimber
19,9,White Spruce-Birch Sawtimber
23,14,Black and White Spruce-Birch-Aspen
38,2,White Spruce Poletimber
42,5,Aspen Closed
45,12,White Spruce-Birch-Aspen Poletimber
60,1,White Spruce Sawtimber
62,3,Birch Closed
70,11,White Spruce-Birch-Aspen Sawtimber
82,7,Birch-Aspen Closed
131,8,Birch-Aspen Open
169,15,White Spruce-Hardwood Reproduction
376,6,Aspen Open
425,4,Birch Open
