x,y,unit,STRATUM,Year,UNIT
-142.435183310642,63.3797722438456,13B,30,1983,3
-142.435183310642,63.3884454716333,13B,30,1983,3
-142.435183310642,63.4057919272087,13B,16,1983,3
-142.435183310642,63.4144651549964,13B,16,1983,3
-142.443856538429,63.3797722438456,13B,30,1983,3
-142.443856538429,63.3884454716333,13B,30,1983,3
-142.443856538429,63.397118699421,13B,16,1983,3
-142.443856538429,63.4057919272087,13B,20,1983,3
-142.443856538429,63.4144651549964,13B,16,1983,3
-142.452529766217,63.3797722438456,13B,15,1983,3
-142.452529766217,63.3884454716333,13B,15,1983,3
-142.452529766217,63.397118699421,13B,16,1983,3
-142.452529766217,63.4057919272087,13B,16,1983,3
-142.452529766217,63.4144651549964,13B,16,1983,3
-142.461202994005,63.3797722438456,13B,15,2013,3
-142.461202994005,63.3884454716333,13B,15,2013,3
-142.461202994005,63.397118699421,13B,16,1983,3
-142.461202994005,63.4057919272087,13B,20,1983,3
-142.461202994005,63.4144651549964,13B,20,1983,3
-142.469876221792,63.3797722438456,13B,15,2013,3
-142.469876221792,63.3884454716333,13B,15,2013,3
-142.469876221792,63.397118699421,13B,15,2013,3
-142.469876221792,63.4057919272087,13B,20,1983,3
-142.469876221792,63.4144651549964,13B,20,1983,3
-142.47854944958,63.3797722438456,13B,16,1983,3
-142.47854944958,63.3884454716333,13B,15,2013,3
-142.47854944958,63.397118699421,13B,15,2013,3
-142.47854944958,63.4057919272087,13B,20,1983,3
-142.47854944958,63.4144651549964,13B,16,1983,3
-142.487222677368,63.3797722438456,13B,16,1983,3
-142.487222677368,63.3884454716333,13B,15,1983,3
-142.487222677368,63.397118699421,13B,16,1983,3
-142.487222677368,63.4057919272087,13B,16,1983,3
-142.487222677368,63.4144651549964,13B,16,1983,3
-142.495895905156,63.3797722438456,13B,16,1983,3
-142.495895905156,63.3884454716333,13B,15,2013,3
-142.495895905156,63.397118699421,13B,15,2013,3
-142.495895905156,63.4057919272087,13B,16,1983,3
-142.495895905156,63.4144651549964,13B,16,1983,3
-142.504569132943,63.3797722438456,13B,16,1983,3
-142.504569132943,63.3884454716333,13B,16,1983,3
-142.504569132943,63.397118699421,13B,15,2013,3
-142.504569132943,63.4057919272087,13B,15,2013,3
-142.504569132943,63.4144651549964,13B,16,1983,3
-142.513242360731,63.3797722438456,13B,15,1983,3
-142.513242360731,63.3884454716333,13B,15,1983,3
-142.513242360731,63.397118699421,13B,15,2013,3
-142.513242360731,63.4057919272087,13B,15,2013,3
-142.513242360731,63.4144651549964,13B,16,1983,3
-142.521915588519,63.3797722438456,13B,16,1983,3
-142.521915588519,63.3884454716333,13B,15,1983,3
-142.521915588519,63.397118699421,13B,15,2013,3
-142.521915588519,63.4057919272087,13B,15,1983,3
-142.521915588519,63.4144651549964,13B,16,1983,3
-142.530588816307,63.3797722438456,13B,16,1983,3
-142.530588816307,63.3884454716333,13B,15,1983,3
-142.530588816307,63.397118699421,13B,15,2013,3
-142.530588816307,63.4057919272087,13B,15,1983,3
-142.530588816307,63.4144651549964,13B,16,1983,3
-142.530588816307,63.4231383827841,13B,16,1983,3
-142.539262044094,63.3797722438456,13B,16,1983,3
-142.539262044094,63.3884454716333,13B,16,1983,3
-142.539262044094,63.397118699421,13B,15,2013,3
-142.539262044094,63.4057919272087,13B,15,2013,3
-142.539262044094,63.4144651549964,13B,15,2013,3
-142.539262044094,63.4231383827841,13B,15,1983,3
-142.539262044094,63.4318116105719,13B,16,1983,3
-142.547935271882,63.3797722438456,13B,15,1983,3
-142.547935271882,63.3884454716333,13B,15,1983,3
-142.547935271882,63.397118699421,13B,15,2013,3
-142.547935271882,63.4057919272087,13B,15,2013,3
-142.547935271882,63.4144651549964,13B,16,1983,3
-142.547935271882,63.4231383827841,13B,15,2013,3
-142.547935271882,63.4318116105719,13B,15,2013,3
-142.55660849967,63.3797722438456,13B,15,1983,3
-142.55660849967,63.3884454716333,13B,16,1983,3
-142.55660849967,63.397118699421,13B,15,2013,3
-142.55660849967,63.4057919272087,13B,15,2013,3
-142.55660849967,63.4144651549964,13B,15,2013,3
-142.55660849967,63.4231383827841,13B,15,1983,3
-142.55660849967,63.4318116105719,13B,15,2013,3
-142.565281727457,63.3797722438456,13B,15,1983,3
-142.565281727457,63.3884454716333,13B,16,1983,3
-142.565281727457,63.397118699421,13B,15,2013,3
-142.565281727457,63.4057919272087,13B,15,2013,3
-142.565281727457,63.4144651549964,13B,15,2013,3
-142.565281727457,63.4231383827841,13B,15,1983,3
-142.565281727457,63.4318116105719,13B,16,1983,3
-142.573954955245,63.3797722438456,13B,15,1983,3
-142.573954955245,63.3884454716333,13B,16,1983,3
-142.573954955245,63.397118699421,13B,15,2013,3
-142.573954955245,63.4057919272087,13B,15,1983,3
-142.573954955245,63.4144651549964,13B,15,2013,3
-142.573954955245,63.4231383827841,13B,15,2013,3
-142.573954955245,63.4318116105719,13B,15,1983,3
-142.582628183033,63.3797722438456,13B,15,1983,3
-142.582628183033,63.3884454716333,13B,16,1983,3
-142.582628183033,63.397118699421,13B,15,1983,3
-142.582628183033,63.4057919272087,13B,15,2013,3
-142.582628183033,63.4144651549964,13B,16,1983,3
-142.582628183033,63.4231383827841,13B,16,1983,3
-142.582628183033,63.4318116105719,13B,15,2013,3
-142.591301410821,63.3797722438456,13B,15,1983,3
-142.591301410821,63.3884454716333,13B,15,2013,3
-142.591301410821,63.397118699421,13B,15,1983,3
-142.591301410821,63.4057919272087,13B,15,2013,3
-142.591301410821,63.4144651549964,13B,15,1983,3
-142.591301410821,63.4231383827841,13B,15,2013,3
-142.591301410821,63.4318116105719,13B,15,2013,3
-142.599974638608,63.3797722438456,13B,16,1983,3
-142.599974638608,63.3884454716333,13B,15,2013,3
-142.599974638608,63.397118699421,13B,15,1983,3
-142.599974638608,63.4057919272087,13B,20,1983,3
-142.599974638608,63.4144651549964,13B,15,1983,3
-142.599974638608,63.4231383827841,13B,15,1983,3
-142.599974638608,63.4318116105719,13B,15,2013,3
-142.608647866396,63.3797722438456,13B,16,1983,3
-142.608647866396,63.3884454716333,13B,15,2013,3
-142.608647866396,63.397118699421,13B,20,1983,3
-142.608647866396,63.4057919272087,13B,15,1983,3
-142.608647866396,63.4144651549964,13B,16,1983,3
-142.608647866396,63.4231383827841,13B,15,2013,3
-142.608647866396,63.4318116105719,13B,16,1983,3
-142.617321094184,63.3797722438456,13B,16,1983,3
-142.617321094184,63.3884454716333,13B,16,1983,3
-142.617321094184,63.397118699421,13B,15,1983,3
-142.617321094184,63.4057919272087,13B,15,2013,3
-142.617321094184,63.4144651549964,13B,16,1983,3
-142.617321094184,63.4231383827841,13B,15,1983,3
-142.617321094184,63.4318116105719,13B,30,1983,3
-142.625994321971,63.3797722438456,13B,16,1983,3
-142.625994321971,63.3884454716333,13B,16,1983,3
-142.625994321971,63.397118699421,13B,16,1983,3
-142.625994321971,63.4057919272087,13B,15,1983,3
-142.625994321971,63.4144651549964,13B,16,1983,3
-142.625994321971,63.4231383827841,13B,30,1983,3
-142.625994321971,63.4318116105719,13B,20,1983,3
